DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
024,060,015,0.6831408188608068,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992424e+00 9.99924242e-01 9.90651515e-01 ... 2.42424242e-05
 1.51515152e-05 0.00000000e+00]"
029,047,023,0.7188966486008985,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992929e+00 9.99929293e-01 9.89618182e-01 ... 2.92929293e-05
 2.32323232e-05 0.00000000e+00]"
060,025,014,0.6907616133201551,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99996061e+00 9.99960606e-01 9.78627273e-01 ... 2.52525253e-05
 1.41414141e-05 0.00000000e+00]"
026,065,008,0.6604505399818257,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992626e+00 9.99926263e-01 9.89880808e-01 ... 2.62626263e-05
 8.08080808e-06 0.00000000e+00]"
069,014,016,0.7061699666561676,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99996970e+00 9.99969697e-01 9.75436364e-01 ... 1.61616162e-05
 1.41414141e-05 0.00000000e+00]"
056,011,031,0.772677698008421,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995714e+00 9.99957143e-01 9.79842857e-01 ... 2.24489796e-05
 1.12244898e-05 0.00000000e+00]"
041,036,022,0.7241785325093316,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99994141e+00 9.99941414e-01 9.85363636e-01 ... 3.63636364e-05
 2.22222222e-05 0.00000000e+00]"
014,014,071,0.8398350186269292,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.96730784e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99991414e+00 9.99914141e-01 9.94936364e-01 ... 2.82828283e-05
 1.41414141e-05 0.00000000e+00]"
083,007,008,0.6684708449638503,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99998469e+00 9.99984694e-01 9.70172449e-01 ... 8.16326531e-06
 7.14285714e-06 0.00000000e+00]"
056,039,003,0.6343913483434885,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995714e+00 9.99957143e-01 9.79842857e-01 ... 3.97959184e-05
 3.06122449e-06 0.00000000e+00]"
